# Source: omie.es bulk download | Downloaded: 2026-05-05T08:16:12.072634
date,omie_spot
2023-01-02,110.0825
2023-01-09,85.78250000000001
2023-01-16,13.221666666666666
2023-01-23,71.92
2023-01-30,134.83708333333334
2023-02-06,134.98291666666668
2023-02-13,146.76708333333332
2023-02-20,134.13291666666666
2023-02-27,117.50791666666667
2023-03-06,147.77083333333334
2023-03-13,38.147083333333335
2023-03-20,121.56416666666667
2023-03-27,102.62875000000001
2023-04-03,62.399166666666666
2023-04-10,52.536249999999995
2023-04-17,78.27333333333333
2023-04-24,96.39708333333334
2023-05-01,94.92666666666666
2023-05-08,97.51333333333334
2023-05-15,57.06166666666667
2023-05-22,88.84541666666667
2023-05-29,95.80208333333333
2023-06-05,86.91916666666667
2023-06-12,93.57875
2023-06-19,106.71916666666668
2023-06-26,95.54708333333333
2023-07-03,117.02375
2023-07-10,109.92333333333333
2023-07-17,87.47500000000001
2023-07-24,90.27416666666666
2023-07-31,88.92333333333333
2023-08-07,83.10833333333333
2023-08-14,97.6075
2023-08-21,117.24583333333334
2023-08-28,89.66083333333334
2023-09-04,86.85374999999999
2023-09-11,116.9375
2023-09-18,105.8075
2023-09-25,119.54791666666667
2023-10-02,114.86125
2023-10-09,120.96041666666667
2023-10-16,138.04875
2023-10-23,124.12041666666666
2023-10-30,34.99583333333333
2023-11-06,55.145833333333336
2023-11-13,48.507083333333334
2023-11-20,93.74833333333333
2023-11-27,107.84708333333333
2023-12-04,77.24083333333333
2023-12-11,74.62875
2023-12-18,97.89958333333334
2023-12-25,63.09083333333333
2024-01-01,37.76375
2024-01-08,106.16208333333333
2024-01-15,87.55958333333332
2024-01-22,69.72291666666666
2024-01-29,77.59083333333334
2024-02-05,80.91666666666667
2024-02-12,45.854166666666664
2024-02-19,45.54791666666667
2024-02-26,3.8175000000000003
2024-03-04,6.452916666666667
2024-03-11,14.6325
2024-03-18,58.97875
2024-03-25,21.487916666666667
2024-04-01,2.765
2024-04-08,0.4054166666666667
2024-04-15,3.345833333333333
2024-04-22,1.90125
2024-04-29,58.2725
2024-05-06,47.805
2024-05-13,23.36125
2024-05-20,33.33708333333333
2024-05-27,30.84
2024-06-03,33.9325
2024-06-10,45.65
2024-06-17,32.120416666666664
2024-06-24,57.708333333333336
2024-07-01,60.99166666666667
2024-07-08,74.12
2024-07-15,53.95333333333334
2024-07-22,79.53041666666667
2024-07-29,108.77749999999999
2024-08-05,109.82416666666667
2024-08-12,105.80916666666667
2024-08-19,93.71625
2024-08-26,94.1925
2024-09-02,116.66083333333334
2024-09-09,90.84125
2024-09-16,27.27541666666667
2024-09-23,91.09916666666668
2024-09-30,92.13833333333334
2024-10-07,55.455000000000005
2024-10-14,104.16708333333334
2024-10-21,94.0025
2024-10-28,75.77583333333332
2024-11-04,108.72458333333333
2024-11-11,80.79666666666667
2024-11-18,136.37458333333333
2024-11-25,82.00625000000001
2024-12-02,143.21125
2024-12-09,67.18875
2024-12-16,120.86166666666666
2024-12-23,46.57208333333333
2024-12-30,140.9375
2025-01-06,47.53125
2025-01-13,125.81124999999999
2025-01-20,144.92
2025-01-27,21.10125
2025-02-03,132.495
2025-02-10,139.52083333333334
2025-02-17,138.16625000000002
2025-02-24,78.56625
2025-03-03,96.98958333333333
2025-03-10,88.13166666666666
2025-03-17,84.05583333333333
2025-03-24,44.455000000000005
2025-03-31,28.73375
2025-04-07,55.04333333333333
2025-04-14,24.542916666666667
2025-04-21,46.720416666666665
2025-04-28,18.260833333333334
2025-05-05,43.94
2025-05-12,27.838333333333335
2025-05-19,14.733333333333333
2025-05-26,19.22625
2025-06-02,34.959583333333335
2025-06-09,63.19291666666666
2025-06-16,55.71041666666667
2025-06-23,110.55958333333332
2025-06-30,110.9375
2025-07-07,62.086666666666666
2025-07-14,84.20333333333333
2025-07-21,57.606249999999996
2025-07-28,34.22
2025-08-04,65.62541666666667
2025-08-11,80.105
2025-08-18,96.67625
2025-08-25,92.29708333333333
2025-09-01,30.652083333333334
2025-09-08,76.36749999999999
2025-09-15,66.88041666666668
2025-09-22,34.53333333333333
2025-09-29,59.062083333333334
2025-10-06,78.52895833333334
2025-10-13,102.65708333333333
2025-10-20,41.6403125
2025-10-27,89.72458333333333
2025-11-03,82.88916666666667
2025-11-10,81.68635416666667
2025-11-17,79.20677083333334
2025-11-24,41.774166666666666
2025-12-01,91.7784375
2025-12-08,55.322187500000005
2025-12-15,92.47010416666666
2025-12-22,70.59979166666666
2025-12-29,107.19760416666666
2026-01-05,95.43760416666667
2026-01-12,88.5121875
2026-01-19,129.06114583333334
2026-01-26,34.12916666666667
2026-02-02,4.455104166666667
2026-02-09,3.2453125000000003
2026-02-16,3.4977083333333336
2026-02-23,33.665625
2026-03-02,18.387083333333333
2026-03-09,110.92750000000001
2026-03-16,37.18177083333333
2026-03-23,33.813854166666665
2026-03-30,10.5846875
2026-04-06,19.394583333333333
2026-04-13,23.884583333333335
2026-04-20,51.22510416666666
2026-04-27,46.98520833333333
2026-05-04,67.12833333333333
